"","X485RD_Date","FP_Date","AP_EAD_Date","X485AD_Date","Center","Type","State","Days_RDtoFP","Days_FPtoEAD","Days_EADto485AD","Days_RDto485AD","Year","Month"
"1161",2013-10-28,2013-11-18,2014-01-09,2014-02-26,"TSC","eb1a",NA,21,52,48,121,2013,0
"1163",2013-10-25,2013-11-05,NA,2013-12-02,"TSC","eb1b","MA",11,NA,NA,38,2013,0
"1164",2013-10-25,2013-11-27,2013-11-27,2014-04-23,"TSC","eb1a",NA,33,0,147,180,2013,0
"1165",2013-10-24,2013-11-05,NA,2014-02-27,"TSC","eb1a",NA,12,NA,NA,126,2013,0
"1166",2013-10-21,2013-11-07,NA,2014-02-06,"TSC","eb1a",NA,17,NA,NA,108,2013,0
"1167",2013-10-21,2013-11-28,NA,2014-02-26,"TSC","eb1a","TX",38,NA,NA,128,2013,0
"1168",2013-10-18,2013-10-29,2013-11-26,2014-03-01,"TSC","eb1a","NJ",11,28,95,134,2013,0
"1169",2013-10-16,2013-11-13,2013-11-14,2014-02-08,"TSC","eb1b","NY",28,1,86,115,2013,0
"1170",2013-10-15,2013-11-12,2013-11-29,2014-02-15,"TSC","eb1a","WP",28,17,78,123,2013,0
"1171",2013-10-15,2013-11-12,2013-11-29,2014-03-24,"TSC","eb1a","TX",28,17,115,160,2013,0
"1172",2013-10-11,2013-10-28,2013-11-23,2013-12-05,"TSC","eb1a","PA",17,26,12,55,2013,0
"1173",2013-10-11,2013-11-06,2013-11-22,2013-12-05,"TSC","eb1a","TX",26,16,13,55,2013,0
"1174",2013-10-09,2013-11-12,2013-11-14,2014-03-05,"TSC","eb1b",NA,34,2,111,147,2013,0
"1175",2013-10-09,2013-10-29,2013-11-26,2014-04-08,"TSC","eb1a","SC",20,28,133,181,2013,0
"1176",2013-10-02,2013-11-14,NA,2014-02-22,"TSC","eb1b",NA,43,NA,NA,143,2013,0
"1177",2013-09-30,2013-10-17,2013-11-18,2014-02-13,"TSC","eb1b",NA,17,32,87,136,2013,0
"1178",2013-09-30,2013-10-30,NA,2013-12-04,"TSC","eb1b",NA,30,NA,NA,65,2013,0
"1180",2013-09-26,2013-10-29,2013-11-10,2014-02-21,"TSC","eb1a",NA,33,12,103,148,2013,0
"1181",2013-09-24,2013-10-18,2013-11-23,2014-02-26,"TSC","eb1a","MA",24,36,95,155,2013,0
"1182",2013-09-23,2013-10-18,2013-11-14,2014-04-17,"TSC","eb1b","TX",25,27,154,206,2013,0
"1183",2013-09-20,2013-10-04,2013-10-26,2014-01-08,"TSC","eb1b","MD",14,22,74,110,2013,0
"1185",2013-09-20,2013-10-01,NA,2013-11-09,"TSC","eb1a","TX",11,NA,NA,50,2013,0
"1186",2013-09-19,2013-10-02,2013-11-15,2013-11-12,"TSC","eb1b","NY",13,44,-3,54,2013,0
"1187",2013-09-19,2013-10-22,2013-10-28,2014-02-25,"TSC","eb1a","MA",33,6,120,159,2013,0
"1188",2013-09-17,2013-10-15,2013-11-02,2014-02-13,"TSC","eb1a",NA,28,18,103,149,2013,0
"1189",2013-09-16,2013-10-15,2013-10-18,2013-12-09,"TSC","eb1b",NA,29,3,52,84,2013,0
"1190",2013-09-16,2013-10-04,2013-10-26,2013-12-10,"TSC","eb1a",NA,18,22,45,85,2013,0
"1191",2013-09-13,2013-10-08,2013-10-28,2013-11-27,"TSC","eb1b","AL",25,20,30,75,2013,0
"1192",2013-09-13,2013-10-11,2013-10-25,2013-11-27,"TSC","eb1b","MA",28,14,33,75,2013,0
"1193",2013-09-13,2013-10-02,2013-11-22,2013-12-11,"TSC","eb1b","NY",19,51,19,89,2013,0
"1194",2013-09-13,2013-10-10,2013-10-28,2013-11-02,"TSC","eb1b",NA,27,18,5,50,2013,0
"1195",2013-09-13,2013-09-27,2013-10-22,2014-02-25,"TSC","eb1a",NA,14,25,126,165,2013,0
"1197",2013-09-10,2013-10-02,2013-11-13,2014-01-09,"TSC","eb1a","GA",22,42,57,121,2013,0
